station_id,station_name,date,temperature,region
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-04-13,69.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-04-14,62.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-04-15,69.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-04-16,70.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-04-17,74.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-04-18,68.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-04-19,67.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-04-20,69.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-04-21,76.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-04-22,64.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-04-23,61.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-04-24,67.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-04-25,64.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-04-26,64.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-04-27,64.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-04-28,71.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-04-29,66.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-04-30,66.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-05-01,66.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-05-02,69.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-05-03,72.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-05-04,76.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-05-05,75.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-05-06,75.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-05-07,72.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-05-08,73.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-05-09,73.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-05-10,77.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-05-11,78.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-05-12,81.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-05-13,81.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-05-14,78.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-05-15,76.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-05-16,78.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-05-17,78.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-05-18,77.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-05-19,77.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-05-20,78.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-05-21,75.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-05-22,79.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-05-23,83.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-05-24,84.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-05-25,86.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-05-26,86.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-05-27,82.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-05-28,86.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-05-29,84.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-05-30,78.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-05-31,74.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-06-01,79.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-06-02,81.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-06-03,84.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-06-04,87.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-06-05,83.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-06-06,83.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-06-07,79.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-06-08,81.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-06-09,82.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-06-10,79.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-06-11,77.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-06-12,81.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-06-13,81.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-06-14,82.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-06-15,83.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-06-16,82.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-06-17,82.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-06-18,83.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-06-19,83.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-06-20,85.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-06-21,83.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-06-22,84.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-06-23,82.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-06-24,83.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-06-25,81.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-06-26,82.0,Region_0
